Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.1,219145878,1323,165643.1,5009.0,3579,55913292,2049610.8,cudaLaunchKernel
7.7,25104686,425,59069.8,5492.0,4091,1934041,266727.4,cudaLaunchKernelExC_v11060
5.5,17887546,230,77771.9,54783.0,4318,333017,66912.5,cudaEventSynchronize
5.2,17127276,253,67696.7,48672.0,8871,331801,65629.0,cudaDeviceSynchronize
4.7,15363868,12,1280322.3,1116721.0,768843,2571875,488359.8,cuLibraryLoadData
3.4,11016684,18,612038.0,158441.0,7240,5576145,1319268.0,cudaMalloc
1.6,5371443,8,671430.4,145206.5,23709,4308523,1472094.2,cudaFree
1.0,3269086,64,51079.5,1208.0,523,2735117,341388.2,cudaOccupancyMaxActiveBlocksPerMultiprocessor
1.0,3120437,1,3120437.0,3120437.0,3120437,3120437,0.0,cudaHostAlloc
0.9,2892305,18,160683.6,1211.5,398,1498388,430036.3,cuKernelGetFunction
0.5,1636400,1,1636400.0,1636400.0,1636400,1636400,0.0,cudaGetDeviceProperties_v2_v12000
0.4,1296079,460,2817.6,2220.0,1847,24442,1781.2,cudaEventRecord
0.3,946493,23,41151.9,34522.0,31208,100936,17022.4,cudaMemGetInfo
0.3,892199,195,4575.4,3413.0,216,56554,5147.3,cudaMemsetAsync
0.3,840375,2095,401.1,353.0,147,19284,588.7,cuGetProcAddress_v2
0.1,389060,16,24316.3,3708.0,3065,263850,65836.9,cudaStreamCreateWithFlags
0.1,179208,18,9956.0,9237.0,4760,27039,5425.1,cuLaunchKernel
0.0,137297,46,2984.7,2519.5,728,22302,3398.4,cudaEventCreate
0.0,50686,46,1101.9,1261.0,561,2955,508.1,cudaEventDestroy
0.0,44122,16,2757.6,1925.5,818,6586,2161.3,cuLibraryGetKernel
0.0,34989,14,2499.2,2075.5,1578,5824,1116.3,cudaStreamIsCapturing_v10000
0.0,32664,1,32664.0,32664.0,32664,32664,0.0,cudaMemcpyAsync
0.0,29021,19,1527.4,518.0,458,12590,2828.9,cudaEventCreateWithFlags
0.0,19129,7,2732.7,2490.0,1874,3882,741.1,cuInit
0.0,6190,1,6190.0,6190.0,6190,6190,0.0,cuProfilerStart
0.0,3160,2,1580.0,1580.0,992,2168,831.6,cudaGetDriverEntryPoint_v11030
0.0,1779,5,355.8,350.0,275,470,76.7,cuModuleGetLoadingMode
